VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)	ROI(1-22)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
0.0	0.168200	0.163600	0.240800	0.184700	0.148800	0.148800	0.148900	0.166700	0.144000	0.155200	0.158900	0.236700	0.129200	0.206300	0.159100	0.145100	0.139200	0.107600	0.161700	0.107700	0.206800	0.199300
4957.8	0.166100	0.162500	0.241000	0.186100	0.147800	0.148900	0.148500	0.166100	0.142900	0.164500	0.157900	0.245000	0.130500	0.199600	0.156800	0.144100	0.137700	0.107000	0.160700	0.109000	0.204000	0.199400
9915.6	0.167500	0.164100	0.243900	0.186100	0.147000	0.151000	0.151200	0.168400	0.141900	0.162500	0.158100	0.244000	0.129300	0.198700	0.156600	0.145000	0.133100	0.105500	0.163800	0.110800	0.200800	0.198800
14873.4	0.173700	0.166000	0.247400	0.187400	0.146200	0.151900	0.154000	0.171600	0.140200	0.156200	0.157100	0.242900	0.131300	0.287600	0.161200	0.142500	0.131200	0.103900	0.164400	0.117100	0.206000	0.199200
19831.2	0.178200	0.166600	0.245800	0.187400	0.146400	0.151500	0.153900	0.170300	0.141300	0.152400	0.159300	0.243700	0.133200	0.254600	0.167500	0.145100	0.132600	0.106400	0.160300	0.130800	0.207000	0.194900
24788.9	0.182600	0.169800	0.247500	0.192200	0.147400	0.153500	0.156200	0.174500	0.141600	0.149700	0.164300	0.241800	0.132100	0.253100	0.172900	0.145500	0.129100	0.103400	0.165400	0.121800	0.219300	0.189300
29746.7	0.176800	0.165300	0.240900	0.187600	0.147000	0.151900	0.152600	0.166800	0.140800	0.149900	0.167300	0.241900	0.138200	0.236200	0.168000	0.145700	0.135200	0.110500	0.159000	0.118800	0.228200	0.189700
34704.5	0.176900	0.163700	0.236700	0.185200	0.145100	0.149000	0.152200	0.164800	0.142300	0.163100	0.173500	0.244500	0.137800	0.215200	0.160900	0.144900	0.135500	0.110500	0.154300	0.114100	0.218200	0.185800
39662.3	0.174400	0.164200	0.236800	0.186500	0.146000	0.148700	0.152100	0.165100	0.144500	0.179800	0.191800	0.243800	0.136500	0.212900	0.158000	0.147100	0.134600	0.110200	0.152600	0.126700	0.213000	0.187800
44620.1	0.171200	0.165300	0.239800	0.189800	0.146400	0.148400	0.153400	0.167300	0.146500	0.178900	0.193800	0.241000	0.134100	0.223600	0.155900	0.145000	0.129500	0.107500	0.153900	0.136900	0.208400	0.194300
49577.9	0.168500	0.167300	0.239100	0.190400	0.146000	0.148300	0.154800	0.167000	0.148000	0.184000	0.192200	0.241100	0.132900	0.230400	0.157500	0.143100	0.131300	0.108800	0.152600	0.129400	0.207500	0.189800
54535.7	0.167100	0.166700	0.241700	0.189700	0.146300	0.148800	0.156000	0.168400	0.148500	0.183500	0.188500	0.247400	0.132900	0.217500	0.157500	0.141900	0.130200	0.108000	0.153500	0.119800	0.207400	0.184400
59493.5	0.163900	0.164200	0.237900	0.188400	0.143600	0.146300	0.156300	0.165500	0.144300	0.181200	0.182000	0.246800	0.133600	0.206200	0.154800	0.141900	0.130200	0.108100	0.150400	0.113100	0.203100	0.176600
64451.3	0.161700	0.164000	0.236400	0.185600	0.143200	0.145400	0.156100	0.163900	0.142500	0.182300	0.175200	0.241300	0.134100	0.205400	0.154200	0.141900	0.132200	0.109200	0.148800	0.108400	0.199200	0.173600
69409.1	0.162600	0.164600	0.238900	0.187300	0.143800	0.146300	0.157100	0.166100	0.142200	0.205500	0.172700	0.238100	0.134500	0.205100	0.155400	0.140700	0.129900	0.109600	0.150200	0.105600	0.197100	0.172000
74366.9	0.162200	0.163100	0.239000	0.187700	0.143000	0.144600	0.159700	0.167300	0.143700	0.198000	0.165400	0.239500	0.135700	0.208100	0.153900	0.139600	0.127400	0.108700	0.149900	0.104000	0.195400	0.173700
79324.6	0.159900	0.161600	0.236500	0.187000	0.143200	0.143100	0.158800	0.165700	0.143500	0.196700	0.160300	0.237600	0.136900	0.213300	0.153300	0.141100	0.129800	0.111200	0.147600	0.106000	0.194600	0.177900
84282.4	0.162000	0.162300	0.237100	0.187500	0.143600	0.143000	0.159900	0.166900	0.142900	0.197000	0.159300	0.237000	0.134600	0.216800	0.153400	0.140900	0.128800	0.112400	0.149500	0.105600	0.196600	0.176000
89240.2	0.161900	0.162000	0.237200	0.185900	0.142300	0.142400	0.157900	0.165000	0.144200	0.196200	0.160200	0.232300	0.134700	0.214800	0.156200	0.140100	0.128800	0.111500	0.147400	0.104000	0.196700	0.173100
94198.0	0.163800	0.165100	0.241600	0.189900	0.143000	0.143600	0.159100	0.170300	0.146700	0.194400	0.159800	0.232000	0.132400	0.208700	0.156100	0.140100	0.126000	0.109000	0.151500	0.101500	0.193900	0.170900
99155.8	0.162100	0.164700	0.238500	0.186700	0.141300	0.143700	0.156900	0.168100	0.145400	0.184500	0.161500	0.236800	0.132800	0.200600	0.157000	0.138400	0.126700	0.109600	0.149200	0.100900	0.189400	0.169600
104113.6	0.162100	0.166700	0.235200	0.184300	0.143100	0.161000	0.156500	0.166200	0.160600	0.174900	0.180200	0.229500	0.134000	0.201000	0.197800	0.140400	0.129800	0.113800	0.147700	0.103200	0.187800	0.170900
109071.4	0.162100	0.171600	0.236500	0.187500	0.144200	0.175100	0.156300	0.165500	0.187400	0.169100	0.205300	0.219300	0.131400	0.208100	0.181300	0.140200	0.128100	0.111800	0.147400	0.101500	0.185500	0.171300
114029.2	0.164000	0.183000	0.237200	0.194800	0.150300	0.209300	0.156400	0.166200	0.182800	0.166200	0.228100	0.214700	0.132600	0.214300	0.184000	0.144300	0.129000	0.113600	0.148300	0.104300	0.185900	0.175000
118987.0	0.167600	0.211200	0.240300	0.234800	0.152200	0.196000	0.158200	0.166600	0.160900	0.157900	0.206100	0.204200	0.131600	0.206700	0.182100	0.155300	0.126800	0.111500	0.149100	0.103600	0.184100	0.174100
123944.8	0.166000	0.220800	0.236700	0.314100	0.149500	0.182600	0.157300	0.163300	0.152700	0.150100	0.183700	0.197700	0.134000	0.199500	0.165800	0.172200	0.131100	0.115100	0.147300	0.107000	0.184300	0.171700
128902.5	0.166900	0.208600	0.240700	0.267300	0.147600	0.172000	0.159100	0.164900	0.143200	0.142800	0.167000	0.186700	0.130800	0.199400	0.158200	0.188700	0.124900	0.108800	0.149300	0.104700	0.183600	0.168300
133860.3	0.165300	0.197800	0.238500	0.251800	0.151400	0.169200	0.157800	0.163400	0.135400	0.138400	0.159200	0.180000	0.128300	0.206500	0.152300	0.192000	0.125000	0.107800	0.149000	0.104100	0.184000	0.163900
138818.1	0.168200	0.197000	0.239200	0.238000	0.163200	0.163800	0.159500	0.162900	0.129600	0.136600	0.155100	0.176900	0.127900	0.218100	0.148600	0.184900	0.123100	0.107600	0.150300	0.105500	0.184000	0.161200
143775.9	0.166300	0.190200	0.233600	0.228000	0.213300	0.165100	0.157700	0.158700	0.127000	0.134400	0.149700	0.175200	0.129800	0.235300	0.146700	0.172900	0.129300	0.112900	0.146000	0.112200	0.186100	0.158900
148733.7	0.170100	0.192700	0.238700	0.224600	0.215500	0.177000	0.162800	0.164300	0.125600	0.133900	0.149100	0.175500	0.129300	0.221900	0.146200	0.162200	0.125800	0.110200	0.149800	0.113600	0.187300	0.158100
153691.5	0.169900	0.190900	0.237100	0.220000	0.200100	0.183700	0.164200	0.165100	0.125700	0.133700	0.151100	0.172500	0.132800	0.214900	0.149500	0.161300	0.128900	0.112000	0.149400	0.128100	0.188200	0.159700
158649.3	0.174800	0.192000	0.241900	0.226700	0.195700	0.183200	0.170400	0.168500	0.127200	0.134100	0.155700	0.170200	0.138700	0.208900	0.158500	0.167100	0.130100	0.117700	0.152900	0.147100	0.194300	0.162900
163607.1	0.180800	0.193800	0.246600	0.236300	0.192600	0.186200	0.180600	0.175900	0.129400	0.135700	0.162600	0.167700	0.143400	0.205900	0.178900	0.175400	0.130500	0.123000	0.158200	0.138900	0.200100	0.165500
168564.9	0.180100	0.193900	0.238900	0.239700	0.191600	0.191300	0.182000	0.171800	0.131500	0.136100	0.174300	0.165700	0.157800	0.200500	0.191500	0.182100	0.140400	0.139500	0.155000	0.144000	0.205400	0.169100
173522.7	0.189600	0.205000	0.246400	0.248000	0.195400	0.202000	0.189800	0.180900	0.134400	0.138200	0.187000	0.163000	0.170100	0.200600	0.195300	0.185700	0.137300	0.142700	0.165700	0.137300	0.217600	0.175800
178480.4	0.193600	0.210800	0.246200	0.246000	0.194400	0.196600	0.194000	0.183900	0.139400	0.141000	0.203000	0.163400	0.188500	0.199400	0.203000	0.184200	0.141800	0.152500	0.168800	0.138200	0.223600	0.185400
183438.2	0.196700	0.211600	0.247000	0.247700	0.193800	0.190700	0.193700	0.186800	0.145200	0.142300	0.220800	0.161000	0.187100	0.196800	0.210100	0.181800	0.142600	0.155500	0.172000	0.137400	0.224300	0.190000
188396.0	0.202400	0.211500	0.251500	0.250300	0.191600	0.189600	0.197000	0.190400	0.156500	0.143800	0.229800	0.159200	0.181200	0.194500	0.210600	0.178300	0.145400	0.153000	0.176500	0.133900	0.223800	0.190400
193353.8	0.208300	0.210600	0.248500	0.248200	0.188400	0.185200	0.201500	0.193000	0.175800	0.142200	0.226000	0.157100	0.179700	0.191500	0.208100	0.172500	0.151300	0.155100	0.178800	0.133400	0.220800	0.188200
198311.6	0.217600	0.214300	0.250700	0.249200	0.183900	0.181500	0.202600	0.195100	0.182400	0.142600	0.221200	0.156000	0.175900	0.189500	0.207000	0.167400	0.152300	0.151800	0.183100	0.131000	0.220500	0.185800
203269.4	0.223700	0.214600	0.251600	0.251200	0.178500	0.176900	0.201100	0.196500	0.176900	0.140900	0.213900	0.152800	0.171100	0.188200	0.201800	0.163800	0.152300	0.150400	0.186600	0.128600	0.221800	0.184700
208227.2	0.225900	0.212600	0.252000	0.250600	0.176400	0.173200	0.198100	0.199200	0.171600	0.141400	0.208900	0.152400	0.168700	0.188400	0.197700	0.162200	0.154100	0.148700	0.192400	0.128100	0.223800	0.186300
213185.0	0.224800	0.209500	0.249400	0.249600	0.172800	0.168000	0.192300	0.197000	0.163800	0.138700	0.201300	0.149500	0.164100	0.185500	0.193900	0.159000	0.157100	0.146700	0.188700	0.127800	0.229400	0.185800
218142.8	0.227000	0.205500	0.248900	0.249500	0.169900	0.166800	0.190000	0.201100	0.157100	0.138300	0.196500	0.148100	0.158900	0.183700	0.189700	0.156700	0.156200	0.140900	0.190200	0.124000	0.227300	0.183700
