VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13
0.0	0.128800	0.185500	0.183500	0.203900	0.204600	0.218600	0.141500	0.190100	0.158100	0.173300	0.211600	0.194900	0.184100
5164.4	0.130100	0.185400	0.182700	0.204800	0.205400	0.217300	0.142700	0.190700	0.156700	0.172300	0.208200	0.194800	0.184100
10328.7	0.127400	0.187300	0.185200	0.205900	0.204600	0.218500	0.140200	0.188900	0.155800	0.170600	0.208200	0.193300	0.182500
15493.1	0.130600	0.185700	0.182700	0.202600	0.203100	0.216600	0.141400	0.190800	0.158800	0.171500	0.208200	0.195100	0.185100
20657.5	0.128100	0.184000	0.179900	0.202200	0.202100	0.216500	0.141500	0.192300	0.157400	0.170400	0.206400	0.192400	0.184900
25821.8	0.127000	0.186700	0.182500	0.204500	0.204100	0.218500	0.140300	0.192000	0.157100	0.168600	0.204700	0.192900	0.184300
30986.2	0.128500	0.185800	0.181100	0.202400	0.201400	0.216800	0.139300	0.191300	0.157200	0.169200	0.205100	0.192500	0.183000
36150.6	0.126800	0.185600	0.180800	0.202900	0.202500	0.218200	0.139800	0.192000	0.157100	0.169300	0.204300	0.191900	0.183400
41314.9	0.125300	0.185800	0.181100	0.202400	0.201200	0.217200	0.138800	0.191500	0.156400	0.167500	0.204700	0.191600	0.182700
46479.3	0.127300	0.185200	0.181100	0.202100	0.201900	0.218000	0.139100	0.190500	0.157500	0.169900	0.206400	0.192500	0.182600
51643.7	0.129500	0.183800	0.179900	0.202100	0.200900	0.217500	0.140600	0.190900	0.157200	0.168900	0.205100	0.190400	0.182400
56808.0	0.126900	0.183400	0.178900	0.201100	0.200700	0.216700	0.139300	0.191400	0.156700	0.167800	0.203300	0.191200	0.180900
61972.4	0.122100	0.189900	0.184600	0.206200	0.204700	0.220100	0.136300	0.192000	0.155000	0.167300	0.205500	0.193900	0.180900
67136.8	0.126000	0.185100	0.179800	0.201800	0.200900	0.218600	0.138100	0.191100	0.156500	0.166000	0.201200	0.191800	0.180700
72301.1	0.128100	0.185300	0.179600	0.202100	0.200000	0.217300	0.138300	0.191000	0.156900	0.166600	0.201600	0.192200	0.181000
77465.5	0.122500	0.187100	0.179600	0.202100	0.200500	0.216800	0.136800	0.190500	0.156100	0.166400	0.200900	0.190700	0.180200
82629.9	0.121500	0.187400	0.180600	0.203500	0.202900	0.218900	0.136800	0.190500	0.156300	0.166600	0.201900	0.190200	0.181300
87794.2	0.124600	0.187000	0.179200	0.202600	0.205600	0.217600	0.138100	0.190200	0.156300	0.166600	0.199700	0.190400	0.181900
92958.6	0.121900	0.183600	0.175700	0.198700	0.202900	0.216000	0.136000	0.187400	0.154000	0.164600	0.198100	0.186700	0.180500
98123.0	0.122500	0.185000	0.176500	0.199900	0.204400	0.216500	0.136000	0.187000	0.153500	0.163300	0.196600	0.186200	0.181000
103287.3	0.120300	0.186600	0.178600	0.202000	0.206800	0.218700	0.135900	0.188800	0.155500	0.165100	0.196800	0.189200	0.182100
108451.7	0.118500	0.190100	0.181000	0.204500	0.209600	0.220400	0.134600	0.187800	0.155700	0.165500	0.200000	0.190200	0.180000
113616.1	0.123900	0.187100	0.177000	0.202000	0.208000	0.234200	0.136900	0.191300	0.155800	0.164600	0.199300	0.188100	0.180100
118780.4	0.126600	0.431200	0.193600	0.211200	0.230900	0.533900	0.147000	0.550400	0.497000	0.346700	0.230000	0.213900	0.180500
123944.8	0.123700	0.401900	0.197100	0.216400	0.227500	0.452000	0.144400	0.398800	0.432400	0.316800	0.243200	0.218400	0.179800
129109.2	0.125900	0.389800	0.208500	0.225500	0.227600	0.405200	0.143700	0.376800	0.392100	0.294700	0.404200	0.223500	0.178300
134273.5	0.124400	0.382800	0.251400	0.239300	0.231800	0.393500	0.143400	0.397100	0.376400	0.287400	0.363100	0.222100	0.177700
139437.9	0.123600	0.371300	0.311800	0.254700	0.234100	0.392800	0.143500	0.401200	0.370100	0.289800	0.327400	0.215000	0.177500
144602.3	0.124900	0.354600	0.329100	0.254900	0.234800	0.395900	0.144700	0.371400	0.335000	0.276600	0.302300	0.214400	0.178100
149766.6	0.128000	0.339500	0.327600	0.246400	0.232100	0.384500	0.144200	0.345600	0.309000	0.269900	0.286800	0.211700	0.176900
154931.0	0.124300	0.335600	0.331300	0.247100	0.234900	0.374800	0.142500	0.335300	0.288800	0.264000	0.275400	0.210000	0.176200
160095.4	0.123400	0.322200	0.324100	0.239800	0.230400	0.359000	0.141800	0.326900	0.298700	0.270000	0.265200	0.212200	0.175900
165259.7	0.128900	0.306800	0.312000	0.232600	0.227100	0.338700	0.144500	0.331800	0.311300	0.276000	0.256200	0.209500	0.176100
